U-Net,SegNet,FCN,Thresh,F1,IoU,Accuracy,Precision,Recall
0.30000000000000004,0.30000000000000004,0.3999999999999999,0.38999999999999996,0.8000148450930128,0.6666872858008657,0.9123511784513232,0.7919757216700684,0.8082188489554245
0.4,0.2,0.39999999999999997,0.41,0.7996449909718502,0.6661737450925926,0.912959636097223,0.7985368426746788,0.8007562201525654
0.4,0.30000000000000004,0.29999999999999993,0.37,0.7995293162897743,0.6660131962999952,0.9108616063292597,0.7805396815735036,0.8194659843045399
0.30000000000000004,0.4,0.29999999999999993,0.36,0.7989842351901282,0.6652570760789847,0.9104374764670788,0.7785026700645282,0.8205726162256104
0.2,0.4,0.4,0.39999999999999997,0.7975668469075866,0.6632941263204978,0.9121533514748157,0.797335253492227,0.7977985758995246
0.5,0.1,0.4,0.41,0.7970355915912863,0.6625595793618009,0.9111251696734362,0.7897206157984886,0.8044873487839898
0.5,0.2,0.3,0.38,0.7969627799985979,0.6624589560316528,0.9097554247144243,0.778321766490012,0.816518619325121
0.2,0.5,0.30000000000000004,0.35,0.7963962475305028,0.661676441874343,0.9089982476032955,0.773672964984478,0.8204947166700899
0.1,0.5,0.4,0.38,0.7940953977045403,0.6585059854834974,0.9095108676964129,0.7840275485615096,0.8044251777555775
0.30000000000000004,0.2,0.49999999999999994,0.38,0.793753673625424,0.6580361383066867,0.9088219924711846,0.7792032079037938,0.8088578977733668
0.4,0.1,0.5,0.38999999999999996,0.7929584002467139,0.6569437219371752,0.9085595574177486,0.7791542333129984,0.8072605234218512
0.6000000000000001,0.0,0.3999999999999999,0.41,0.7924565114920202,0.6562550499105163,0.9084545189226177,0.7796196781645117,0.8057231527820203
0.2,0.30000000000000004,0.5,0.38999999999999996,0.7924522340037041,0.6562491829695503,0.9092262294930471,0.7860977545257153,0.7989102855340711
0.1,0.6000000000000001,0.29999999999999993,0.32999999999999996,0.7923469738999793,0.6561048228277384,0.9062042504968778,0.7621982242513557,0.8249790188259941
0.4,0.4,0.19999999999999996,0.37,0.7922730081982623,0.6560033967974761,0.9080563934755997,0.7768460342960659,0.8083251093984078
0.6000000000000001,0.1,0.29999999999999993,0.38,0.7921804932368774,0.6558765524387459,0.9070398035183759,0.7689987877849439,0.8168032808964467
0.30000000000000004,0.5,0.19999999999999996,0.33999999999999997,0.7917325891398962,0.6552627198667444,0.9064162348357725,0.7653055911394372,0.8200499832776033
0.5,0.30000000000000004,0.19999999999999996,0.37,0.7906829243391479,0.6538259825144883,0.90677388956849,0.7706891369949092,0.8117417294110019
0.1,0.4,0.5,0.37,0.7904734975594174,0.6535396262841853,0.9071878648140062,0.7745038617907918,0.8071155608944478
0.5,0.0,0.5,0.39999999999999997,0.7898427715254618,0.6526778122435734,0.9070778027386732,0.7752414634722317,0.8050046563251806
0.0,0.6000000000000001,0.3999999999999999,0.36,0.7898300990944818,0.6526605060407852,0.9065469956733812,0.7710559220149289,0.8095413456225558
0.2,0.6000000000000001,0.19999999999999996,0.32,0.7885462576181942,0.6509090944667728,0.9041459526814205,0.7560532565550063,0.8239575934139826
0.6000000000000001,0.2,0.1999999999999999,0.36,0.7869696804591052,0.6487634056666826,0.9039282194325622,0.7581400412183332,0.8180785919822532
0.0,0.7000000000000001,0.29999999999999993,0.31,0.7865487714901966,0.6481915002700238,0.9025757077714087,0.7494457490189146,0.8275168847905823
