lake,year,month,area_m2,temp_C,source,region,hemisphere,pet_mm,precip_mm,snow_cover_pct,snow_depth_cm
Namtso,2000,6,36223450.79,4.823038616,Landsat-7/8/9,Tibetan Plateau,north,-3.397155891,3.923543394,554.4002073,0.913801585
Namtso,2000,7,542268609,6.560321943,Landsat-7/8/9,Tibetan Plateau,north,-3.486342262,5.630317659,267.8761664,0.275103723
Namtso,2000,8,110848072.1,5.729948042,Landsat-7/8/9,Tibetan Plateau,north,-3.445326096,6.43220921,442.4682597,0.452702048
Namtso,2001,6,80035389.75,1.962872151,Landsat-7/8/9,Tibetan Plateau,north,-2.055987503,4.975298696,3629.092934,8.876629696
Namtso,2001,7,1398445.902,6.900579636,Landsat-7/8/9,Tibetan Plateau,north,-3.935707126,5.246231594,249.3221427,0.373091849
Namtso,2001,8,45357.5,6.010338067,GSW,Tibetan Plateau,north,-3.665915323,6.112167721,410.5462635,0.429170979
Namtso,2002,6,15312205.2,3.7831075,Landsat-7/8/9,Tibetan Plateau,north,-3.152807899,4.546311909,1580.456159,1.909846257
Namtso,2002,7,24845721.49,6.755227555,Landsat-7/8/9,Tibetan Plateau,north,-3.455392737,7.36882383,371.5534295,0.389965269
Namtso,2002,8,1102685.455,5.612872277,Landsat-7/8/9,Tibetan Plateau,north,-3.74330757,4.627698429,353.3764097,0.368871986
Namtso,2003,6,-,3.655563065,GSW,Tibetan Plateau,north,-2.943059287,5.411162972,1553.813244,2.350630912
Namtso,2003,7,273323636.6,6.035631468,Landsat-7/8/9,Tibetan Plateau,north,-3.735593721,6.524023577,388.1552414,0.406357971
Namtso,2003,8,29476140.64,6.889789664,Landsat-7/8/9,Tibetan Plateau,north,-3.830598578,5.557764953,208.4041015,0.20747327
Namtso,2004,6,7989827.745,3.058812871,Landsat-7/8/9,Tibetan Plateau,north,-2.633429814,5.021257641,2383.581042,2.988827942
Namtso,2004,7,1528405.35,5.587259538,GSW,Tibetan Plateau,north,-3.27113014,7.755716102,617.2994772,0.647326658
Namtso,2004,8,648858.4109,6.146320176,Landsat-7/8/9,Tibetan Plateau,north,-3.673625456,5.563761672,226.8427448,0.226824703
Namtso,2005,6,249825.062,4.015994046,Landsat-7/8/9,Tibetan Plateau,north,-3.28312432,3.92804793,1514.853095,2.346079172
Namtso,2005,7,64836525.87,6.742022007,Landsat-7/8/9,Tibetan Plateau,north,-3.941394548,4.960497487,159.0645605,0.153813823
Namtso,2005,8,103672267.3,6.543762063,Landsat-7/8/9,Tibetan Plateau,north,-3.536230072,7.296638658,393.4119845,0.414162103
Namtso,2006,6,1638927259,5.110574599,GSW,Tibetan Plateau,north,-3.828800966,3.294691151,257.7447609,0.290834682
Namtso,2006,7,34301587.55,7.527906426,Landsat-7/8/9,Tibetan Plateau,north,-4.356084565,3.526147602,90.95498206,0.084672828
Namtso,2006,8,10260483.46,6.475302121,Landsat-7/8/9,Tibetan Plateau,north,-4.235422881,3.858015931,145.89818,0.142457603
Namtso,2007,6,124763093,4.198241943,Landsat-7/8/9,Tibetan Plateau,north,-3.763931504,2.719790825,1019.385172,1.081017195
Namtso,2007,7,1360021.398,6.689755509,Landsat-7/8/9,Tibetan Plateau,north,-3.789131188,6.567969896,368.5043227,0.381513474
Namtso,2007,8,38819578.98,6.48458011,Landsat-7/8/9,Tibetan Plateau,north,-3.562782178,5.970956139,508.652812,0.546106253
Namtso,2008,6,38478277.7,4.322432851,Landsat-7/8/9,Tibetan Plateau,north,-3.276210143,4.88049038,983.3167194,1.120932921
Namtso,2008,7,40205783.05,6.686110241,Landsat-7/8/9,Tibetan Plateau,north,-3.820394146,5.954874275,243.3031933,0.253781143
Namtso,2008,8,2083930910,5.418492135,GSW,Tibetan Plateau,north,-3.413903942,6.595388749,782.1171075,0.834629865
Namtso,2009,6,60204318.65,5.344802463,Landsat-7/8/9,Tibetan Plateau,north,-3.778181969,2.435420082,631.5827819,0.647837547
Namtso,2009,7,182777358.7,7.8721955,Landsat-7/8/9,Tibetan Plateau,north,-4.345996295,5.088703262,174.1531711,0.17521887
Namtso,2009,8,514879.697,6.267092944,Landsat-7/8/9,Tibetan Plateau,north,-3.811667667,6.402462211,494.0532227,0.515573589
Namtso,2010,6,5130552.173,5.417458492,Landsat-7/8/9,Tibetan Plateau,north,-4.245309349,2.618522762,335.7567016,0.348018056
Namtso,2010,7,33204810.95,7.797667847,Landsat-7/8/9,Tibetan Plateau,north,-4.185489172,4.694034833,76.33791798,0.066178241
Namtso,2010,8,1834029002,7.000004729,Landsat-7/8/9,Tibetan Plateau,north,-3.586037454,6.402830901,326.840488,0.33024354
Namtso,2011,6,2022044.692,3.752972375,Landsat-7/8/9,Tibetan Plateau,north,-3.316297136,4.257240461,1125.357988,1.183363971
Namtso,2011,7,13180908.15,6.652939463,GSW,Tibetan Plateau,north,-3.414982868,7.449538895,217.3924269,0.230402938
Namtso,2011,8,81358796.21,6.01321964,Landsat-7/8/9,Tibetan Plateau,north,-4.221905633,3.310957358,153.3073995,0.149756881
Namtso,2012,6,15252441.89,6.415819847,Landsat-7/8/9,Tibetan Plateau,north,-4.252942861,2.75477143,211.7192166,0.217530142
Namtso,2012,7,81601012.32,7.266907226,Landsat-7/8/9,Tibetan Plateau,north,-3.759542154,6.754280832,113.7335317,0.104120807
Namtso,2012,8,35870502.27,6.706657364,Landsat-7/8/9,Tibetan Plateau,north,-4.044533411,4.441592429,129.4668241,0.122197029
Namtso,2013,6,3414119.787,4.846379312,Landsat-7/8/9,Tibetan Plateau,north,-3.355515182,4.066907405,764.6368238,0.81100225
Namtso,2013,7,1258139.864,7.117358484,Landsat-7/8/9,Tibetan Plateau,north,-3.679112444,6.996787621,306.0284592,0.320888638
Namtso,2013,8,36798394.01,6.379754237,Landsat-7/8/9,Tibetan Plateau,north,-4.264936588,3.83973114,240.2515401,0.24681173
Namtso,2014,6,34474157.73,5.276873778,Landsat-7/8/9,Tibetan Plateau,north,-3.950408847,3.04605016,836.6532395,0.959681035
Namtso,2014,7,10365176.12,6.712844754,Landsat-7/8/9,Tibetan Plateau,north,-3.423051077,6.348739141,309.2343164,0.317022776
Namtso,2014,8,18781789.62,6.058085803,Landsat-7/8/9,Tibetan Plateau,north,-3.540557349,6.85813098,444.8789925,0.466485997
