region,MAE_test,MAE_train,R2_test,R2_train,RMSE_test,RMSE_train,n_test,n_train
Africa,1.78,0.391,-26.035,0.931,2.642,0.574,37.0,190.0
Amazon,0.852,0.22,-12.879,0.841,1.073,0.283,32.0,152.0
Australia,1.176,0.363,-29.613,0.953,2.251,0.498,34.0,171.0
Central Asia,0.705,0.233,-4.328,0.875,1.034,0.327,29.0,190.0
East Asia,0.532,0.22,-0.804,0.787,0.662,0.283,30.0,189.0
Europe,0.597,0.198,-1.017,0.854,0.823,0.251,30.0,187.0
Greenland,0.586,0.096,-0.774,0.963,0.719,0.119,21.0,131.0
Sahara,1780.542,8.339,-3298.731,1.0,6304.441,14.755,17.0,106.0
Siberia,0.656,0.176,-0.215,0.863,0.821,0.221,30.0,190.0
Tibetan Plateau,0.574,0.185,-3.109,0.946,0.811,0.252,27.0,171.0
Xinjiang,0.596,0.121,-2.557,0.972,1.006,0.153,27.0,171.0
