area_m2,lake,source,valid_days,year,region,hemisphere,pet_mm,precip_mm,snow_cover_pct,snow_depth_cm,temp_C
10400000.0,Namtso,10day-mean,6,2000,Tibetan Plateau,north,-105.2715344,163.3045926,322.3522861,0.413040364,5.782266752
17500000.0,Namtso,10day-mean,6,2001,Tibetan Plateau,north,-98.80834875,166.8964629,1291.132288,2.829617658,5.037247909
6165051.204,Namtso,10day-mean,8,2002,Tibetan Plateau,north,-105.6484147,168.9610949,586.0738395,0.650218086,5.465581962
31900000.0,Namtso,10day-mean,4,2003,Tibetan Plateau,north,-107.4181551,178.2779466,530.2512622,0.750820175,5.609752055
60700000.0,Namtso,10day-mean,8,2004,Tibetan Plateau,north,-97.71364258,187.4010939,880.9571383,1.04531871,5.007953866
366000000.0,Namtso,10day-mean,7,2005,Tibetan Plateau,north,-109.7835309,165.6194708,545.3295849,0.778234976,5.851708164
12600000.0,Namtso,10day-mean,10,2006,Tibetan Plateau,north,-126.5481317,108.6600138,119.0093245,0.121967723,6.465510296
8427603.456,Namtso,10day-mean,9,2007,Tibetan Plateau,north,-113.0757292,156.4986201,503.7432968,0.520781289,5.877765822
3273390.766,Namtso,10day-mean,10,2008,Tibetan Plateau,north,-107.0213141,178.3861338,523.7002165,0.557899304,5.566338065
124000000.0,Namtso,10day-mean,10,2009,Tibetan Plateau,north,-121.5921691,142.7583598,352.3811961,0.357356059,6.581504645
6257519.576,Namtso,10day-mean,9,2010,Tibetan Plateau,north,-122.3004411,140.3370559,184.9232141,0.185389198,6.823115238
11000000.0,Namtso,10day-mean,9,2011,Tibetan Plateau,north,-111.5746737,153.5627418,378.5213713,0.386643689,5.561366796
11300000.0,Namtso,10day-mean,9,2012,Tibetan Plateau,north,-122.714672,142.8567683,107.0509914,0.105180222,6.886010722
51500000.0,Namtso,10day-mean,10,2013,Tibetan Plateau,north,-115.2087102,152.3271921,337.5876321,0.343828635,6.206916131
13000000.0,Namtso,10day-mean,10,2014,Tibetan Plateau,north,-111.1133686,166.4618264,410.4314525,0.435971917,6.096095124
11500000.0,Namtso,10day-mean,10,2015,Tibetan Plateau,north,-128.5413326,117.7184238,403.9928103,0.414703126,6.059680719
4053663.827,Namtso,10day-mean,10,2016,Tibetan Plateau,north,-109.220315,148.3983212,488.068821,0.510193984,6.091787433
6541089.422,Namtso,10day-mean,9,2017,Tibetan Plateau,north,-114.6719474,166.282645,360.3992599,0.367111683,6.10925293
50400000.0,Namtso,10day-mean,10,2018,Tibetan Plateau,north,-108.2776049,180.3165627,443.3029182,0.499462228,6.413695691
83400000.0,Namtso,10day-mean,10,2019,Tibetan Plateau,north,-120.6950375,143.0508504,298.1084365,0.321159553,6.498045649
217000000.0,Namtso,10day-mean,10,2020,Tibetan Plateau,north,-107.3501171,170.2050629,645.1077219,1.131277235,6.192927244
115000000.0,Namtso,10day-mean,10,2021,Tibetan Plateau,north,-110.917499,169.9943417,334.5288377,0.341641895,6.455047743
3792350.367,Namtso,10day-mean,10,2022,Tibetan Plateau,north,-135.8121487,102.1030118,123.7949478,0.123585881,7.547644587
88400000.0,Namtso,10day-mean,10,2023,Tibetan Plateau,north,-112.5760468,171.7264695,390.7733523,0.473362218,6.405825368
84000000.0,Namtso,10day-mean,10,2024,Tibetan Plateau,north,-122.25084,147.1802272,154.0944515,0.162836352,7.07416802
306000000.0,Namtso,10day-mean,10,2025,Tibetan Plateau,north,-125.7194524,134.4682137,310.1972312,0.318411317,6.725638951
98300000.0,Yamdrok,10day-mean,6,2000,Tibetan Plateau,north,-128.2485725,215.0252434,130.715469,0.133360988,7.692661095
191000000.0,Yamdrok,10day-mean,8,2001,Tibetan Plateau,north,-146.7559729,148.0918993,128.5622567,0.135259913,7.94366169
61800000.0,Yamdrok,10day-mean,5,2002,Tibetan Plateau,north,-132.0045828,180.6336243,201.1752958,0.207732326,7.424601941
31700000.0,Yamdrok,10day-mean,4,2003,Tibetan Plateau,north,-136.6759331,174.1412032,156.2040817,0.159794824,7.682117866
57600000.0,Yamdrok,10day-mean,4,2004,Tibetan Plateau,north,-129.925023,199.7754147,213.2672855,0.221112889,7.235955759
21200000.0,Yamdrok,10day-mean,6,2005,Tibetan Plateau,north,-145.0470911,151.1487245,84.27783336,0.085499272,8.312136465
72500000.0,Yamdrok,10day-mean,8,2006,Tibetan Plateau,north,-150.200016,136.9587905,126.8744699,0.130564501,8.225589323
53300000.0,Yamdrok,10day-mean,10,2007,Tibetan Plateau,north,-140.7834429,171.9809477,255.8292003,0.276407569,7.926491726
91500000.0,Yamdrok,10day-mean,6,2008,Tibetan Plateau,north,-129.3987657,192.8456169,247.1246611,0.262018976,7.597161136
70900000.0,Yamdrok,10day-mean,9,2009,Tibetan Plateau,north,-143.8912602,150.5353161,160.9807266,0.167454821,8.421092078
71900000.0,Yamdrok,10day-mean,6,2010,Tibetan Plateau,north,-136.5604033,178.3365226,158.4343679,0.164061465,8.252644676
10400000.0,Yamdrok,10day-mean,7,2011,Tibetan Plateau,north,-133.5031125,182.8266973,164.1115746,0.168051272,7.563698302
15400000.0,Yamdrok,10day-mean,7,2012,Tibetan Plateau,north,-146.5457809,165.5320497,120.6224081,0.12455973,8.661517567
108000000.0,Yamdrok,10day-mean,7,2013,Tibetan Plateau,north,-137.2257294,200.0253474,157.692523,0.162027971,7.972188435
38500000.0,Yamdrok,10day-mean,9,2014,Tibetan Plateau,north,-140.7840288,184.1133925,109.1164356,0.112543861,8.259743443
46900000.0,Yamdrok,10day-mean,10,2015,Tibetan Plateau,north,-148.6172184,133.4534769,179.0702628,0.187259881,8.163612372
